Country Name,Country Code,Time,Time Code,"Completion rate, lower secondary education, adjusted gender parity index (GPIA) [UIS.CR.2.GPIA]","Completion rate, lower secondary education, adjusted location parity index (LPIA) [UIS.CR.2.LPIA]","Completion rate, lower secondary education, adjusted wealth parity index (WPIA) [UIS.CR.2.WPIA]","Completion rate, lower secondary education, both sexes (%) [UIS.CR.2]","Enrolment in lower secondary education, both sexes (number) [UIS.E.2]","Enrolment in secondary education, both sexes (number) [SE.SEC.ENRL]","Gross enrolment ratio, lower secondary, both sexes (%) [SE.SEC.ENRR.LO]","Gross enrolment ratio, primary and lower secondary, both sexes (%) [UIS.GER.12]","School life expectancy, primary and secondary, both sexes (years) [UIS.SLE.123]","School life expectancy, primary and lower secondary, gender parity index (GPI) [UIS.SLE.1T2.GPI]","School life expectancy, primary and lower secondary, both sexes (years) [UIS.SLE.12]","School life expectancy, secondary, both sexes (years) [UIS.SLE.23]","Gross enrolment ratio, secondary, both sexes (%) [SE.SEC.ENRR]","Completion rate, upper secondary education, adjusted gender parity index (GPIA) [UIS.CR.3.GPIA]","Completion rate, upper secondary education, adjusted location parity index (LPIA) [UIS.CR.3.LPIA]","Completion rate, upper secondary education, adjusted wealth parity index (WPIA) [UIS.CR.3.WPIA]","Completion rate, upper secondary education, both sexes (%) [UIS.CR.3]"
Vietnam,VNM,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,1991,YR1991,..,..,..,..,..,12700,..,..,13.19537,..,..,6.18256,103.0426,..,..,..,..
West Bank and Gaza,PSE,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zambia,ZMB,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zimbabwe,ZWE,1991,YR1991,..,..,..,..,..,710619,..,..,10.07525,..,..,2.70073,45.01215,..,..,..,..
Afghanistan,AFG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1992,YR1992,..,..,..,..,..,404904,..,..,10.19942,..,..,6.21718,77.71476,..,..,..,..
Algeria,DZA,1992,YR1992,..,..,..,..,..,2232780,..,..,9.2632,..,..,3.45435,57.57251,..,..,..,..
American Samoa,ASM,1992,YR1992,..,..,..,..,..,3643,..,..,10.64617,..,..,3.66223,91.55567,..,..,..,..
Andorra,AND,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,1992,YR1992,..,..,..,..,..,218987,..,..,3.27684,..,..,0.70695,10.09933,..,..,..,..
Antigua and Barbuda,ATG,1992,YR1992,..,..,..,..,..,5845,..,..,12.04703,..,..,4.87896,97.5793,..,..,..,..
Argentina,ARG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,1992,YR1992,..,..,..,..,..,394701,..,..,9.49711,..,..,6.46288,92.32686,..,..,..,..
Aruba,ABW,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,1992,YR1992,..,..,..,..,..,756385,..,..,12.54086,..,..,8.38447,104.80587,..,..,..,..
Azerbaijan,AZE,1992,YR1992,..,..,..,..,..,880096,..,..,9.7759,..,..,6.43613,91.94465,..,..,..,..
"Bahamas, The",BHS,1992,YR1992,..,..,..,..,..,29559,..,..,11.45731,..,..,5.73582,95.86185,..,..,..,..
Bahrain,BHR,1992,YR1992,..,..,..,..,..,48600,..,..,12.47803,..,..,5.91503,98.49222,..,..,..,..
Bangladesh,BGD,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,1992,YR1992,..,..,..,..,..,968200,..,..,10.35419,..,..,6.51855,93.12221,..,..,..,..
Belgium,BEL,1992,YR1992,..,..,..,..,..,765672,..,..,12.10093,..,..,6.16479,102.74649,..,..,..,..
Belize,BLZ,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,1992,YR1992,..,..,..,..,..,80358,..,..,10.48994,..,..,2.51558,49.37147,..,..,..,..
Brazil,BRA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,1992,YR1992,..,..,..,..,..,1134,..,..,13.31659,..,..,4.57086,88.04348,..,..,..,..
Brunei Darussalam,BRN,1992,YR1992,..,..,..,..,..,26836,..,..,11.99325,..,..,5.18037,73.89987,..,..,..,..
Bulgaria,BGR,1992,YR1992,..,..,..,..,..,864882,..,..,10.44811,..,..,6.70479,95.78277,..,..,..,..
Burkina Faso,BFA,1992,YR1992,..,..,..,..,..,105542,..,..,2.6197,..,..,0.53114,7.47781,..,..,..,..
Burundi,BDI,1992,YR1992,..,..,..,..,..,48398,..,..,4.45424,..,..,0.43691,6.24163,..,..,..,..
Cabo Verde,CPV,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,1992,YR1992,..,..,..,..,..,534451,..,..,7.39722,..,..,1.97257,28.17955,..,..,..,..
Canada,CAN,1992,YR1992,..,..,..,..,..,2337513,..,..,12.38321,..,..,6.16283,102.71387,..,..,..,..
Cayman Islands,CYM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,1992,YR1992,..,..,..,..,33598,43740,12.80387,42.281,4.21237,0.64116,4.02715,0.69737,9.96249,..,..,..,..
Chad,TCD,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,1992,YR1992,..,..,..,..,..,1390586,..,..,11.50634,..,..,5.48164,91.36072,..,..,..,..
China,CHN,1992,YR1992,..,..,..,..,..,53690000,..,..,8.63118,..,..,2.52593,42.0988,..,..,..,..
Colombia,COL,1992,YR1992,..,..,..,..,..,2686515,..,..,9.27457,..,..,3.57952,59.65872,..,..,..,..
Comoros,COM,1992,YR1992,..,..,..,..,..,15878,..,..,8.15626,..,..,1.75351,25.05009,..,..,..,..
"Congo, Dem. Rep.",COD,1992,YR1992,..,..,..,..,..,1097095,..,..,6.29416,..,..,1.44923,22.79243,..,..,..,..
"Congo, Rep.",COG,1992,YR1992,..,..,..,..,..,191459,..,..,10.47281,..,..,3.28761,46.96582,..,..,..,..
Costa Rica,CRI,1992,YR1992,..,..,..,..,..,151513,..,..,8.72478,..,..,2.37824,46.68978,..,..,..,..
Cote d'Ivoire,CIV,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,1992,YR1992,..,..,..,..,..,912165,..,..,11.00237,..,..,5.07286,87.18981,..,..,..,..
Curacao,CUW,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,1992,YR1992,..,..,..,..,..,47908,..,..,8.86929,..,..,4.05005,67.50077,..,..,..,..
Czech Republic,CZE,1992,YR1992,..,..,..,..,..,1201149,..,..,10.91061,..,..,6.88227,86.02833,..,..,..,..
Denmark,DNK,1992,YR1992,..,..,..,..,..,455639,..,..,12.34527,..,..,6.49835,110.18228,..,..,..,..
Djibouti,DJI,1992,YR1992,..,..,..,..,..,10026,..,..,2.78291,..,..,0.71856,10.26507,..,..,..,..
Dominica,DMA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,1992,YR1992,..,..,..,..,..,811666,..,..,11.29731,..,..,3.46864,57.8106,..,..,..,..
"Egypt, Arab Rep.",EGY,1992,YR1992,..,..,..,..,..,5284174,..,..,8.41062,..,..,4.14635,69.10591,..,..,..,..
El Salvador,SLV,1992,YR1992,..,..,..,..,..,304735,..,..,8.65461,..,..,2.51069,41.84483,..,..,..,..
Equatorial Guinea,GNQ,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,1992,YR1992,..,..,..,..,..,132020,..,..,11.61135,..,..,6.1077,101.79502,..,..,..,..
Eswatini,SWZ,1992,YR1992,..,..,..,..,..,51864,..,..,9.25307,..,..,2.40202,48.04046,..,..,..,..
Ethiopia,ETH,1992,YR1992,..,..,..,..,..,782412,..,..,2.24737,..,..,0.73051,12.17512,..,..,..,..
Faroe Islands,FRO,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,1992,YR1992,..,..,..,..,..,91123,..,..,12.10516,..,..,5.65264,80.75202,..,..,..,..
Finland,FIN,1992,YR1992,..,..,..,..,..,446207,..,..,13.11869,..,..,7.17,119.49999,..,..,..,..
France,FRA,1992,YR1992,..,..,..,..,..,5614894,..,..,12.55785,..,..,7.22126,104.52207,..,..,..,..
French Polynesia,PYF,1992,YR1992,..,..,..,..,..,21320,..,..,11.31914,..,..,5.16866,73.83805,..,..,..,..
Gabon,GAB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,1992,YR1992,..,..,..,..,..,21786,..,..,4.84611,..,..,1.09217,18.20278,..,..,..,..
Georgia,GEO,1992,YR1992,..,..,..,..,..,530751,..,..,10.06705,..,..,6.25514,89.35909,..,..,..,..
Germany,DEU,1992,YR1992,..,..,..,..,..,7500078,..,..,13.04296,..,..,9.0767,100.85226,..,..,..,..
Ghana,GHA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,GIB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,1992,YR1992,..,..,..,..,..,870235,..,..,11.15894,..,..,5.57989,92.96071,..,..,..,..
Greenland,GRL,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,1992,YR1992,..,..,..,..,..,9896,..,..,13.8563,..,..,5.32444,106.48875,..,..,..,..
Guam,GUM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,GIN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,1992,YR1992,..,..,..,..,..,1114493,..,..,10.46484,..,..,6.66275,83.28442,..,..,..,..
Iceland,ISL,1992,YR1992,..,..,..,..,..,29985,..,..,14.11635,..,..,7.10689,101.52705,..,..,..,..
India,IND,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1992,YR1992,..,..,..,..,..,10920580,..,..,9.29938,..,..,2.64401,44.06684,..,..,..,..
"Iran, Islamic Rep.",IRN,1992,YR1992,..,..,..,..,..,5619057,..,..,9.56335,..,..,4.02674,57.52488,..,..,..,..
Iraq,IRQ,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,1992,YR1992,..,..,..,..,203006,352408,96.56744,98.85158,11.00636,1.00729,8.84515,5.05824,100.6811,..,..,..,..
Isle of Man,IMN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,1992,YR1992,..,..,..,..,..,506892,..,..,11.69107,..,..,5.56914,92.819,..,..,..,..
Italy,ITA,1992,YR1992,..,..,..,..,..,5010467,..,..,11.5499,..,..,6.58309,82.28861,..,..,..,..
Jamaica,JAM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,1992,YR1992,..,..,..,..,..,10676866,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,1992,YR1992,..,..,..,..,..,438901,..,..,10.5567,..,..,4.6762,77.93665,..,..,..,..
Kazakhstan,KAZ,1992,YR1992,..,..,..,..,..,2115400,..,..,10.52103,..,..,6.82913,97.55895,..,..,..,..
Kenya,KEN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kiribati,KIR,1992,YR1992,..,..,..,..,..,3357,..,..,10.97579,..,..,2.35139,39.18982,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,1992,YR1992,..,..,..,..,..,4443751,..,..,11.75734,..,..,5.48885,91.81615,..,..,..,..
Kosovo,XKX,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,1992,YR1992,..,..,..,..,..,167331,..,..,6.657,..,..,4.32084,53.02551,..,..,..,..
Kyrgyz Republic,KGZ,1992,YR1992,..,..,..,..,..,649600,..,..,10.37585,..,..,7.03325,100.475,..,..,..,..
Lao PDR,LAO,1992,YR1992,..,..,..,..,..,125702,..,..,6.36315,..,..,1.28614,20.23441,..,..,..,..
Latvia,LVA,1992,YR1992,..,..,..,..,164300,254196,96.04929,96.0159,11.07616,..,8.6416,7.23703,90.46282,..,..,..,..
Lebanon,LBN,1992,YR1992,..,..,..,..,..,285500,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,1992,YR1992,..,..,..,..,..,52598,..,..,8.62582,..,..,1.27894,23.75164,..,..,..,..
Liberia,LBR,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,LBY,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,1992,YR1992,..,..,..,..,..,379162,..,..,10.76483,..,..,7.1072,88.84,..,..,..,..
Luxembourg,LUX,1992,YR1992,..,..,..,..,..,20817,..,..,..,..,..,4.82529,68.93275,..,..,..,..
"Macao SAR, China",MAC,1992,YR1992,..,..,..,..,..,18978,..,..,10.93552,..,..,4.16906,72.33848,..,..,..,..
Madagascar,MDG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,1992,YR1992,..,..,..,..,..,257558,..,..,6.82306,..,..,1.18757,19.79288,..,..,..,..
Malaysia,MYS,1992,YR1992,..,..,..,..,..,1566790,..,..,9.72869,..,..,3.9367,65.61163,..,..,..,..
Maldives,MDV,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,MLI,1992,YR1992,..,..,..,..,..,98737,..,..,2.28147,..,..,0.49628,8.27134,..,..,..,..
Malta,MLT,1992,YR1992,..,..,..,..,..,34358,..,..,12.23396,..,..,6.04453,86.14266,..,..,..,..
Marshall Islands,MHL,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,1992,YR1992,..,..,..,..,..,39821,..,..,4.00398,..,..,0.80791,13.4651,..,..,..,..
Mauritius,MUS,1992,YR1992,..,..,..,..,..,86024,..,..,10.51812,..,..,4.07487,58.21243,..,..,..,..
Mexico,MEX,1992,YR1992,..,..,..,..,..,6704188,..,..,9.97659,..,..,3.29216,54.86932,..,..,..,..
"Micronesia, Fed. Sts.",FSM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,1992,YR1992,..,..,..,..,..,448404,..,..,9.83324,..,..,6.1002,87.14573,..,..,..,..
Monaco,MCO,1992,YR1992,..,..,..,..,..,2858,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,1992,YR1992,..,..,..,..,219500,275061,84.99384,87.59407,8.13377,..,6.99685,5.38661,76.95155,..,..,..,..
Montenegro,MNE,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,1992,YR1992,..,..,..,..,..,1235527,..,..,6.09248,..,..,2.18275,36.37924,..,..,..,..
Mozambique,MOZ,1992,YR1992,..,..,..,..,..,159202,..,..,3.67603,..,..,0.49032,7.02413,..,..,..,..
Myanmar,MMR,1992,YR1992,..,..,..,..,..,1408030,..,..,6.91431,..,..,1.41104,23.51739,..,..,..,..
Namibia,NAM,1992,YR1992,..,..,..,..,..,84581,..,..,11.39374,..,..,2.53567,47.64617,..,..,..,..
Nauru,NRU,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,1992,YR1992,..,..,..,..,..,855137,..,..,7.61976,..,..,1.87028,37.40564,..,..,..,..
Netherlands,NLD,1992,YR1992,..,..,..,..,..,1377768,..,..,12.7234,..,..,6.8797,121.03978,..,..,..,..
New Caledonia,NCL,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,1992,YR1992,..,..,..,..,..,350112,..,..,12.64057,..,..,6.57952,94.26589,..,..,..,..
Nicaragua,NIC,1992,YR1992,..,..,..,..,..,228360,..,..,7.75741,..,..,2.15341,43.06826,..,..,..,..
Niger,NER,1992,YR1992,..,..,..,..,..,76916,..,..,2.08419,..,..,0.44371,6.33872,..,..,..,..
Nigeria,NGA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,1992,YR1992,..,..,..,..,..,367395,..,..,12.23686,..,..,6.23543,105.39398,..,..,..,..
Oman,OMN,1992,YR1992,..,..,..,..,85243,119244,65.84607,79.84362,8.39854,0.90456,7.27487,3.09906,51.65096,..,..,..,..
Pakistan,PAK,1992,YR1992,..,..,..,..,..,5022416,..,..,..,..,..,1.98297,28.32821,..,..,..,..
Palau,PLW,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,PAN,1992,YR1992,..,..,..,..,..,201047,..,..,9.56006,..,..,3.5711,59.51834,..,..,..,..
Papua New Guinea,PNG,1992,YR1992,..,..,..,..,..,69596,..,..,4.0999,..,..,0.63168,10.52799,..,..,..,..
Paraguay,PRY,1992,YR1992,..,..,..,..,..,192775,..,..,8.44771,..,..,1.9788,32.98005,..,..,..,..
Peru,PER,1992,YR1992,..,..,..,..,..,1703997,..,..,9.93178,..,..,3.2707,65.41393,..,..,..,..
Philippines,PHL,1992,YR1992,..,..,..,..,..,4208151,..,..,9.51141,..,..,2.95877,73.00017,..,..,..,..
Poland,POL,1992,YR1992,..,..,..,..,..,3206604,..,..,11.19158,..,..,5.28197,88.03291,..,..,..,..
Portugal,PRT,1992,YR1992,..,..,..,..,..,759639,..,..,11.84099,..,..,4.65644,77.60731,..,..,..,..
Puerto Rico,PRI,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,1992,YR1992,..,..,..,..,..,31120,..,..,10.22167,..,..,4.80738,80.83117,..,..,..,..
Romania,ROU,1992,YR1992,..,..,..,..,..,2606305,..,..,10.02527,..,..,6.55616,81.95201,..,..,..,..
Russian Federation,RUS,1992,YR1992,..,..,..,..,..,14154465,..,..,9.91245,..,..,6.59921,94.27447,..,..,..,..
Rwanda,RWA,1992,YR1992,..,..,..,..,..,171866,..,..,5.91031,..,..,1.08535,15.50506,..,..,..,..
Samoa,WSM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
San Marino,SMR,1992,YR1992,..,..,..,..,..,1158,..,..,8.42332,..,..,3.78277,47.28461,..,..,..,..
Sao Tome and Principe,STP,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,SAU,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,1992,YR1992,..,..,..,..,..,191431,..,..,4.41938,..,..,1.09934,15.70489,..,..,..,..
Serbia,SRB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,1992,YR1992,..,..,..,..,..,9182,..,..,11.62438,..,..,5.65742,113.14849,..,..,..,..
Sierra Leone,SLE,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,1992,YR1992,..,..,..,..,156362,210304,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,1992,YR1992,..,..,..,..,..,210699,..,..,10.97576,..,..,7.06401,88.30008,..,..,..,..
Solomon Islands,SLB,1992,YR1992,..,..,..,..,..,6666,..,..,6.55509,..,..,0.7891,15.782,..,..,..,..
Somalia,SOM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,1992,YR1992,..,..,..,..,..,4773349,..,..,12.56685,..,..,7.36812,105.25885,..,..,..,..
Sri Lanka,LKA,1992,YR1992,..,..,..,..,..,2185277,..,..,11.29996,..,..,5.90446,84.3495,..,..,..,..
St. Kitts and Nevis,KNA,1992,YR1992,..,..,..,..,..,4396,..,..,12.81188,..,..,4.9628,83.27335,..,..,..,..
St. Lucia,LCA,1992,YR1992,..,..,..,..,..,9419,..,..,12.72989,..,..,3.09795,61.95895,..,..,..,..
St. Martin (French part),MAF,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,1992,YR1992,..,..,..,..,..,35535,..,..,12.38965,..,..,4.43728,63.3897,..,..,..,..
Sweden,SWE,1992,YR1992,..,..,..,..,..,585527,..,..,11.5192,..,..,5.49927,91.64209,..,..,..,..
Switzerland,CHE,1992,YR1992,..,..,..,..,..,562465,..,..,12.36551,..,..,6.91051,98.41752,..,..,..,..
Syrian Arab Republic,SYR,1992,YR1992,..,..,..,..,..,902819,..,..,9.27308,..,..,2.80335,46.00089,..,..,..,..
Tajikistan,TJK,1992,YR1992,..,..,..,..,..,830302,..,..,10.6498,..,..,7.02438,100.34831,..,..,..,..
Tanzania,TZA,1992,YR1992,..,..,..,..,..,191651,..,..,5.57839,..,..,0.32384,5.39731,..,..,..,..
Thailand,THA,1992,YR1992,..,..,..,..,..,2444092,..,..,8.03455,..,..,2.00657,33.44279,..,..,..,..
Timor-Leste,TLS,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,TGO,1992,YR1992,..,..,..,..,..,127831,..,..,7.18481,..,..,1.41532,20.21884,..,..,..,..
Tonga,TON,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,1992,YR1992,..,..,..,..,..,97804,..,..,10.65359,..,..,3.98501,79.70012,..,..,..,..
Tunisia,TUN,1992,YR1992,..,..,..,..,..,589674,..,..,10.1832,..,..,3.23239,46.17705,..,..,..,..
Turkey,TUR,1992,YR1992,..,..,..,..,..,3987423,..,..,8.56694,..,..,3.2839,54.44912,..,..,..,..
Turkmenistan,TKM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,1992,YR1992,..,..,..,..,..,256669,..,..,5.0978,..,..,0.61946,10.3244,..,..,..,..
Ukraine,UKR,1992,YR1992,..,..,..,..,..,4731700,..,..,9.87654,..,..,6.37448,91.06398,..,..,..,..
United Arab Emirates,ARE,1992,YR1992,..,..,..,..,..,118011,..,..,10.34091,..,..,4.05916,68.19395,..,..,..,..
United Kingdom,GBR,1992,YR1992,..,..,..,..,..,4433500,..,..,12.61394,..,..,6.37,91.07829,..,..,..,..
United States,USA,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,URY,1992,YR1992,..,..,..,..,..,272622,..,..,11.45065,..,..,4.95905,82.6508,..,..,..,..
Uzbekistan,UZB,1992,YR1992,..,..,..,..,..,3225500,..,..,10.01343,..,..,6.87439,98.20554,..,..,..,..
Vanuatu,VUT,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,1992,YR1992,..,..,..,..,..,1248018,..,..,9.52298,..,..,2.80746,56.14924,..,..,..,..
Vietnam,VNM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,1992,YR1992,..,..,..,..,..,12600,..,..,13.60773,..,..,6.42748,107.12464,..,..,..,..
West Bank and Gaza,PSE,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zambia,ZMB,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zimbabwe,ZWE,1992,YR1992,..,..,..,..,..,657344,..,..,9.71239,..,..,2.41608,40.26802,..,..,..,..
Afghanistan,AFG,1993,YR1993,..,..,..,..,..,332170,..,..,2.70149,..,..,0.92635,15.42397,..,..,..,..
Albania,ALB,1993,YR1993,..,..,..,..,..,362439,..,..,9.56762,..,..,5.62681,70.33512,..,..,..,..
Algeria,DZA,1993,YR1993,..,..,..,..,..,2305198,..,..,9.29124,..,..,3.46205,57.70078,..,..,..,..
